IP:PORT, LOSS, DELAY
[2606:4700:d0::1ede:fa49:0260:7fd4]:3581,0.00%,timeout ms
[2606:4700:d0::1b6a:0b6e:b8e6:0093]:3581,0.00%,timeout ms
[2606:4700:d0::4b3f:df8e:da3f:856c]:7559,0.00%,timeout ms
[2606:4700:d0::0964:7da4:6ec5:c087]:3581,0.00%,timeout ms
[2606:4700:d0::a392:b563:b512:49c4]:7559,0.00%,timeout ms
[2606:4700:d0::2cf0:a66d:4b61:9943]:3581,0.00%,timeout ms
[2606:4700:d0::55f4:d53e:dc97:061d]:3581,0.00%,timeout ms
[2606:4700:d0::1b6a:0b6e:b8e6:0093]:7559,0.00%,timeout ms
[2606:4700:d0::a392:b563:b512:49c4]:3581,0.00%,timeout ms
[2606:4700:d0::a43e:bb34:544b:064b]:3581,0.00%,timeout ms
[2606:4700:d0::146d:f729:079f:b08c]:7559,0.00%,timeout ms
[2606:4700:d0::1ede:fa49:0260:7fd4]:7559,0.00%,timeout ms
[2606:4700:d0::2cf0:a66d:4b61:9943]:7559,0.00%,timeout ms
[2606:4700:d0::55f4:d53e:dc97:061d]:7559,0.00%,timeout ms
[2606:4700:d0::a43e:bb34:544b:064b]:7559,0.00%,timeout ms
[2606:4700:d0::1dfa:2661:bad3:e343]:3581,0.00%,timeout ms
[2606:4700:d0::1dfa:2661:bad3:e343]:7559,0.00%,timeout ms
[2606:4700:d0::353c:9ab6:d260:316e]:3581,0.00%,timeout ms
[2606:4700:d0::2070:ac2b:f742:c18b]:3581,0.00%,timeout ms
[2606:4700:d0::5b60:41c4:197f:efea]:3581,0.00%,timeout ms
[2606:4700:d0::a543:22b3:dcb8:3a09]:3581,0.00%,timeout ms
[2606:4700:d0::402a:ee94:1bb1:dbd3]:3581,0.00%,timeout ms
[2606:4700:d1::5b4a:5d82:6316:a205]:7559,0.00%,timeout ms
[2606:4700:d0::2070:ac2b:f742:c18b]:7559,0.00%,timeout ms
[2606:4700:d1::a46f:d52d:6a3c:98b1]:7559,0.00%,timeout ms
[2606:4700:d0::5b60:41c4:197f:efea]:7559,0.00%,timeout ms
[2606:4700:d0::402a:ee94:1bb1:dbd3]:7559,0.00%,timeout ms
[2606:4700:d1::a485:35cd:b08e:21dc]:3581,0.00%,timeout ms
[2606:4700:d0::629f:a397:b4b7:e5ab]:3581,0.00%,timeout ms
[2606:4700:d0::09ef:261e:0b4f:81bb]:3581,0.00%,timeout ms
[2606:4700:d1::a485:35cd:b08e:21dc]:7559,0.00%,timeout ms
[2606:4700:d0::353c:9ab6:d260:316e]:7559,0.00%,timeout ms
[2606:4700:d0::a543:22b3:dcb8:3a09]:7559,0.00%,timeout ms
[2606:4700:d0::3674:f75d:d02c:c3bd]:7559,0.00%,timeout ms
[2606:4700:d0::629f:a397:b4b7:e5ab]:7559,0.00%,timeout ms
[2606:4700:d0::13d0:423f:1b07:e57f]:3581,0.00%,timeout ms
[2606:4700:d1::a849:c46f:50ba:c979]:3581,0.00%,timeout ms
[2606:4700:d0::a644:696f:8f0d:7306]:3581,0.00%,timeout ms
[2606:4700:d0::3674:f75d:d02c:c3bd]:3581,0.00%,timeout ms
[2606:4700:d0::83f2:2793:e405:aea1]:7559,0.00%,timeout ms
[2606:4700:d0::8a0d:fd4a:7957:d6e2]:3581,0.00%,timeout ms
[2606:4700:d1::16b0:125b:794a:3a31]:7559,0.00%,timeout ms
[2606:4700:d1::a849:c46f:50ba:c979]:7559,0.00%,timeout ms
[2606:4700:d1::3177:b3fe:83a2:2b5b]:7559,0.00%,timeout ms
[2606:4700:d1::173f:c5e7:ff49:c2ed]:3581,0.00%,timeout ms
[2606:4700:d0::a644:696f:8f0d:7306]:7559,0.00%,timeout ms
[2606:4700:d0::8a0d:fd4a:7957:d6e2]:7559,0.00%,timeout ms
[2606:4700:d0::6392:9401:0440:7e0a]:3581,0.00%,timeout ms
[2606:4700:d1::b6bd:8857:674c:b83f]:3581,0.00%,timeout ms
[2606:4700:d1::173f:c5e7:ff49:c2ed]:7559,0.00%,timeout ms
[2606:4700:d1::3f24:99cc:21f7:a196]:3581,0.00%,timeout ms
[2606:4700:d0::b86b:a6b2:a5dc:c6cb]:3581,0.00%,timeout ms
[2606:4700:d0::8ca2:0682:322a:8f98]:3581,0.00%,timeout ms
[2606:4700:d1::b6bd:8857:674c:b83f]:7559,0.00%,timeout ms
[2606:4700:d1::5dd5:3509:ff6b:089c]:3581,0.00%,timeout ms
[2606:4700:d1::3f24:99cc:21f7:a196]:7559,0.00%,timeout ms
[2606:4700:d0::b86b:a6b2:a5dc:c6cb]:7559,0.00%,timeout ms
[2606:4700:d0::8ca2:0682:322a:8f98]:7559,0.00%,timeout ms
[2606:4700:d0::09ef:261e:0b4f:81bb]:7559,0.00%,timeout ms
[2606:4700:d1::1963:6efe:d756:1a8e]:3581,0.00%,timeout ms
[2606:4700:d1::c651:8573:3989:f03b]:3581,0.00%,timeout ms
[2606:4700:d0::4b3f:df8e:da3f:856c]:3581,0.00%,timeout ms
[2606:4700:d0::43e7:eaf2:9058:c36a]:3581,0.00%,timeout ms
[2606:4700:d0::bb49:e346:5709:11a0]:3581,0.00%,timeout ms
[2606:4700:d0::8f6e:19cf:eadd:02b3]:3581,0.00%,timeout ms
[2606:4700:d1::44a9:cff8:f676:46f7]:3581,0.00%,timeout ms
[2606:4700:d1::c651:8573:3989:f03b]:7559,0.00%,timeout ms
[2606:4700:d0::6392:9401:0440:7e0a]:7559,0.00%,timeout ms
[2606:4700:d1::1963:6efe:d756:1a8e]:7559,0.00%,timeout ms
[2606:4700:d0::146d:f729:079f:b08c]:3581,0.00%,timeout ms
[2606:4700:d0::0964:7da4:6ec5:c087]:7559,0.00%,timeout ms
[2606:4700:d0::bb49:e346:5709:11a0]:7559,0.00%,timeout ms
[2606:4700:d0::8f6e:19cf:eadd:02b3]:7559,0.00%,timeout ms
[2606:4700:d1::44a9:cff8:f676:46f7]:7559,0.00%,timeout ms
[2606:4700:d1::cec4:0cc6:8028:0cad]:3581,0.00%,timeout ms
[2606:4700:d0::43e7:eaf2:9058:c36a]:7559,0.00%,timeout ms
[2606:4700:d1::1dd2:7b7d:1255:bcee]:3581,0.00%,timeout ms
[2606:4700:d0::6abe:1490:5956:7869]:3581,0.00%,timeout ms
[2606:4700:d1::5dd5:3509:ff6b:089c]:7559,0.00%,timeout ms
[2606:4700:d0::9351:5dc9:44d1:7104]:3581,0.00%,timeout ms
[2606:4700:d0::cf3d:b05a:ad96:dd1c]:3581,0.00%,timeout ms
[2606:4700:d1::cec4:0cc6:8028:0cad]:7559,0.00%,timeout ms
[2606:4700:d1::1dd2:7b7d:1255:bcee]:7559,0.00%,timeout ms
[2606:4700:d0::13d0:423f:1b07:e57f]:7559,0.00%,timeout ms
[2606:4700:d0::6abe:1490:5956:7869]:7559,0.00%,timeout ms
[2606:4700:d1::5e73:67b6:29fe:ebc1]:3581,0.00%,timeout ms
[2606:4700:d0::9351:5dc9:44d1:7104]:7559,0.00%,timeout ms
[2606:4700:d1::47f2:7b6f:83b7:70c1]:3581,0.00%,timeout ms
[2606:4700:d0::cf3d:b05a:ad96:dd1c]:7559,0.00%,timeout ms
[2606:4700:d1::db29:dcf4:9c0f:1def]:3581,0.00%,timeout ms
[2606:4700:d1::1f3b:a642:26c3:7686]:3581,0.00%,timeout ms
[2606:4700:d0::6b31:5f1f:6d86:c736]:3581,0.00%,timeout ms
[2606:4700:d0::9366:befd:eb33:e89d]:3581,0.00%,timeout ms
[2606:4700:d1::5e73:67b6:29fe:ebc1]:7559,0.00%,timeout ms
[2606:4700:d0::d005:621d:00a2:4b03]:3581,0.00%,timeout ms
[2606:4700:d1::db29:dcf4:9c0f:1def]:7559,0.00%,timeout ms
[2606:4700:d1::1f3b:a642:26c3:7686]:7559,0.00%,timeout ms
[2606:4700:d0::6b31:5f1f:6d86:c736]:7559,0.00%,timeout ms
[2606:4700:d0::9366:befd:eb33:e89d]:7559,0.00%,timeout ms
[2606:4700:d1::47f2:7b6f:83b7:70c1]:7559,0.00%,timeout ms
[2606:4700:d1::6181:edc6:5d81:6914]:3581,0.00%,timeout ms
[2606:4700:d1::dcbb:35dc:6602:d548]:3581,0.00%,timeout ms
[2606:4700:d1::2b01:b794:3494:3389]:3581,0.00%,timeout ms
[2606:4700:d0::6bd6:ddf4:9fb8:19ab]:3581,0.00%,timeout ms
[2606:4700:d0::97d9:791f:2380:c904]:3581,0.00%,timeout ms
[2606:4700:d0::d005:621d:00a2:4b03]:7559,0.00%,timeout ms
[2606:4700:d1::6181:edc6:5d81:6914]:7559,0.00%,timeout ms
[2606:4700:d1::dcbb:35dc:6602:d548]:7559,0.00%,timeout ms
[2606:4700:d0::6bd6:ddf4:9fb8:19ab]:7559,0.00%,timeout ms
[2606:4700:d0::97d9:791f:2380:c904]:7559,0.00%,timeout ms
[2606:4700:d1::2b01:b794:3494:3389]:7559,0.00%,timeout ms
[2606:4700:d0::d450:6288:0fd6:f3dd]:3581,0.00%,timeout ms
[2606:4700:d1::df6c:f46f:a47b:6629]:3581,0.00%,timeout ms
[2606:4700:d1::64e3:4f82:8767:79c8]:3581,0.00%,timeout ms
[2606:4700:d0::6c74:3e67:63b7:abc1]:3581,0.00%,timeout ms
[2606:4700:d0::9848:2594:e5f3:f257]:3581,0.00%,timeout ms
[2606:4700:d1::2ee4:036b:0559:1af5]:3581,0.00%,timeout ms
[2606:4700:d1::df6c:f46f:a47b:6629]:7559,0.00%,timeout ms
[2606:4700:d1::64e3:4f82:8767:79c8]:7559,0.00%,timeout ms
[2606:4700:d0::6c74:3e67:63b7:abc1]:7559,0.00%,timeout ms
[2606:4700:d0::d450:6288:0fd6:f3dd]:7559,0.00%,timeout ms
[2606:4700:d1::4b04:35c0:09ca:ba81]:3581,0.00%,timeout ms
[2606:4700:d0::9848:2594:e5f3:f257]:7559,0.00%,timeout ms
[2606:4700:d1::e120:58f7:344d:4601]:3581,0.00%,timeout ms
[2606:4700:d1::2ee4:036b:0559:1af5]:7559,0.00%,timeout ms
[2606:4700:d0::6de9:0591:fa6a:8d28]:3581,0.00%,timeout ms
[2606:4700:d0::d6ea:02db:4032:ffb2]:3581,0.00%,timeout ms
[2606:4700:d1::6ded:d1a5:e404:bf5d]:3581,0.00%,timeout ms
[2606:4700:d1::e120:58f7:344d:4601]:7559,0.00%,timeout ms
[2606:4700:d1::4b04:35c0:09ca:ba81]:7559,0.00%,timeout ms
[2606:4700:d0::992b:8819:8a9c:2042]:3581,0.00%,timeout ms
[2606:4700:d1::2fbe:f1ee:4d0d:760f]:3581,0.00%,timeout ms
[2606:4700:d0::d6ea:02db:4032:ffb2]:7559,0.00%,timeout ms
[2606:4700:d1::6ded:d1a5:e404:bf5d]:7559,0.00%,timeout ms
[2606:4700:d1::e241:ee7d:9ff7:3648]:3581,0.00%,timeout ms
[2606:4700:d0::992b:8819:8a9c:2042]:7559,0.00%,timeout ms
[2606:4700:d1::2fbe:f1ee:4d0d:760f]:7559,0.00%,timeout ms
[2606:4700:d1::4d4e:2e11:8a18:ee7a]:3581,0.00%,timeout ms
[2606:4700:d0::d92b:057c:e8bf:10fc]:3581,0.00%,timeout ms
[2606:4700:d1::6e94:4f8b:ce93:3c41]:3581,0.00%,timeout ms
[2606:4700:d1::e241:ee7d:9ff7:3648]:7559,0.00%,timeout ms
[2606:4700:d1::f455:cd73:38ea:24b0]:7559,0.00%,timeout ms
[2606:4700:d1::3177:b3fe:83a2:2b5b]:3581,0.00%,timeout ms
[2606:4700:d0::d92b:057c:e8bf:10fc]:7559,0.00%,timeout ms
[2606:4700:d1::4d4e:2e11:8a18:ee7a]:7559,0.00%,timeout ms
[2606:4700:d0::6de9:0591:fa6a:8d28]:7559,0.00%,timeout ms
[2606:4700:d1::6e94:4f8b:ce93:3c41]:7559,0.00%,timeout ms
[2606:4700:d1::f5d8:e7ea:0e4e:b573]:3581,0.00%,timeout ms
[2606:4700:d1::ec21:49f1:d1b2:b2de]:3581,0.00%,timeout ms
[2606:4700:d0::7063:3a0e:3428:9a97]:7559,0.00%,timeout ms
[2606:4700:d0::e44b:29cf:31d5:8d00]:3581,0.00%,timeout ms
[2606:4700:d0::83f2:2793:e405:aea1]:3581,0.00%,timeout ms
[2606:4700:d1::5061:c12d:30fd:d1c3]:3581,0.00%,timeout ms
[2606:4700:d1::ec21:49f1:d1b2:b2de]:7559,0.00%,timeout ms
[2606:4700:d1::713f:2255:da6a:6e46]:3581,0.00%,timeout ms
[2606:4700:d0::7063:3a0e:3428:9a97]:3581,0.00%,timeout ms
[2606:4700:d1::5061:c12d:30fd:d1c3]:7559,0.00%,timeout ms
[2606:4700:d1::f5d8:e7ea:0e4e:b573]:7559,0.00%,timeout ms
[2606:4700:d0::e44b:29cf:31d5:8d00]:7559,0.00%,timeout ms
[2606:4700:d1::fc69:e116:efe2:f8f7]:3581,0.00%,timeout ms
[2606:4700:d1::f6ec:b4ab:fa78:9aee]:7559,0.00%,timeout ms
[2606:4700:d1::f6ec:b4ab:fa78:9aee]:3581,0.00%,timeout ms
[2606:4700:d1::978a:6774:6224:980b]:3581,0.00%,timeout ms
[2606:4700:d1::fc69:e116:efe2:f8f7]:7559,0.00%,timeout ms
[2606:4700:d1::86a3:ebce:72ef:fa7f]:3581,0.00%,timeout ms
[2606:4700:d0::f3ac:2cf1:44d3:0816]:3581,0.00%,timeout ms
[2606:4700:d1::ef99:346f:7654:edd5]:7559,0.00%,timeout ms
[2606:4700:d1::86a3:ebce:72ef:fa7f]:7559,0.00%,timeout ms
[2606:4700:d0::eac4:10fe:95de:07e6]:7559,0.00%,timeout ms
[2606:4700:d0::efe2:04a5:e343:dba4]:3581,0.00%,timeout ms
[2606:4700:d1::86cf:7878:8235:de11]:3581,0.00%,timeout ms
[2606:4700:d0::eac4:10fe:95de:07e6]:3581,0.00%,timeout ms
[2606:4700:d0::efe2:04a5:e343:dba4]:7559,0.00%,timeout ms
[2606:4700:d1::9c95:c337:4277:b7b8]:3581,0.00%,timeout ms
[2606:4700:d1::86cf:7878:8235:de11]:7559,0.00%,timeout ms
[2606:4700:d0::f3ac:2cf1:44d3:0816]:7559,0.00%,timeout ms
[2606:4700:d0::f19c:15d9:b6ed:7635]:3581,0.00%,timeout ms
[2606:4700:d1::978a:6774:6224:980b]:7559,0.00%,timeout ms
[2606:4700:d1::9087:1c12:d55b:755d]:3581,0.00%,timeout ms
[2606:4700:d0::f19c:15d9:b6ed:7635]:7559,0.00%,timeout ms
[2606:4700:d0::fb26:f766:2913:d069]:3581,0.00%,timeout ms
[2606:4700:d1::9c53:f9d4:6041:d57e]:3581,0.00%,timeout ms
[2606:4700:d1::9d73:454d:1c5a:f449]:3581,0.00%,timeout ms
[2606:4700:d1::9087:1c12:d55b:755d]:7559,0.00%,timeout ms
[2606:4700:d1::9c53:f9d4:6041:d57e]:7559,0.00%,timeout ms
[2606:4700:d0::fb26:f766:2913:d069]:7559,0.00%,timeout ms
[2606:4700:d1::9c95:c337:4277:b7b8]:7559,0.00%,timeout ms
[2606:4700:d1::9406:570a:c72c:a038]:3581,0.00%,timeout ms
[2606:4700:d1::53a2:4d19:89f2:52b5]:3581,0.00%,timeout ms
[2606:4700:d1::a46f:d52d:6a3c:98b1]:3581,0.00%,timeout ms
[2606:4700:d1::9d73:454d:1c5a:f449]:7559,0.00%,timeout ms
[2606:4700:d1::9406:570a:c72c:a038]:7559,0.00%,timeout ms
[2606:4700:d1::0de1:257e:5180:1517]:3581,0.00%,timeout ms
[2606:4700:d1::53a2:4d19:89f2:52b5]:7559,0.00%,timeout ms
[2606:4700:d1::713f:2255:da6a:6e46]:7559,0.00%,timeout ms
[2606:4700:d1::ef99:346f:7654:edd5]:3581,0.00%,timeout ms
[2606:4700:d1::0de1:257e:5180:1517]:7559,0.00%,timeout ms
[2606:4700:d1::f455:cd73:38ea:24b0]:3581,0.00%,timeout ms
[2606:4700:d1::16b0:125b:794a:3a31]:3581,0.00%,timeout ms
[2606:4700:d1::5b4a:5d82:6316:a205]:3581,0.00%,timeout ms
